,mun_name,year,TOTAL_TAX_SUM,5yr_growth,10yr_growth,15yr_growth,20yr_growth
52,LA ROCHELLE,2022,103503007.0,27.429700769405567,44.01681505394226,67.6065238466306,96.96050061451794
53,METZ,2022,102765688.0,10.250394333082918,26.156045801881696,15.84047368150577,24.46154437739215
54,AUBERVILLIERS,2022,101725865.0,32.294677545243424,62.2414714701855,55.90777547650475,120.6141759684381
55,FORT DE FRANCE,2022,100068416.0,43.65968261201928,48.01415171993924,61.354947660073556,112.09587037695694
56,PAU,2022,98079675.0,13.833494077638484,23.8221564550902,26.826138219224777,50.16867850696318
57,SAINT MAUR DES FOSSES,2022,98005957.0,17.165863328302443,32.40917481984023,32.40917481984023,140.3164417163593
58,PANTIN,2022,94041995.0,41.98871419007432,77.90734137496302,75.37521462214846,99.29962418279669
59,DUNKERQUE,2022,93730995.0,3.490233741468219,9.412791180206312,-25.08886501796146,-2.3512004049011948
60,VITRY SUR SEINE,2022,93723029.0,18.28427490037945,30.037191765831622,30.037191765831622,45.40280270203417
61,BEZIERS,2022,92396683.0,21.80450010752533,25.332300887266534,53.27965455232282,76.8827383472303
62,AULNAY SOUS BOIS,2022,91971462.0,30.22458477608892,32.257049086559356,32.257049086559356,16.616108675001247
63,GENNEVILLIERS,2022,91753961.0,30.512818700144745,63.80666798789415,36.3104463192227,61.07745756766546
64,BLAGNAC,2022,91065089.0,48.979807918401974,77.1915724567766,69.25056539930057,133.94481332922808
65,AGDE,2022,90786475.0,66.67338294012688,82.46698714626028,163.20827599075352,204.05882887625418
66,FREJUS,2022,88617647.0,45.13033605410535,64.6855349167042,161.87778806627108,230.01687852870384
67,VERSAILLES,2022,88508389.0,19.819884056753015,28.20431188309605,72.05143885421414,110.51019147357557
68,CLICHY,2022,86633858.0,25.292919356272115,47.291318849589565,44.314157146404334,97.42709463770368
69,ARGENTEUIL,2022,86065890.0,-0.12238058666995191,17.599046504520803,36.53191579987022,52.13219287366194
70,SAINT-RAPHAEL,2022,84941494.0,59.05982577881112,89.33987126185158,206.43825404842943,331.06612643098345
71,POITIERS,2022,84608961.0,7.317019001268997,14.593260508947953,21.90722499871982,63.40579677256745
72,SAINT PIERRE,2022,83499918.0,28.930176643934324,60.600438506945295,89.93590737305757,249.02303341106733
73,MONTAUBAN,2022,82011975.0,46.02473653950897,83.64569554686372,106.63259020123026,148.01648294604914
74,EVRY-COURCOURONNES,2022,81932434.0,234.02043640452868,234.02043640452868,234.02043640452868,234.02043640452868
75,FONTENAY SOUS BOIS,2022,81661104.0,53.29900978738807,73.87680477520658,73.87680477520658,119.71435313979701
76,NOISY LE GRAND,2022,81545475.0,23.871766361147966,36.07572477777418,36.07572477777418,66.09867476863084
77,SAINT PAUL,2022,80839317.0,26.070976063965993,53.09702810666636,67.28519739054408,209.46786734373987
78,COLOMBES,2022,80197161.0,8.612354513036266,23.09244808004669,28.883006808783158,36.542982834951964
79,MULHOUSE,2022,79909746.0,10.048373926475803,20.847019466881928,31.275822369826077,45.9897034455744
80,HYERES,2022,78199828.0,18.678285225522625,32.9860609554345,82.60279135366876,130.22472160853363
